time,lat,lon,h,x,y,z,speed,accel_x,accel_y,accel_z,roll,pitch,yaw,heading
0.295113,37.63267229,126.970563,49.56781987,-358.73,6297.06,29.44,6.36,0.049433333,2.1069,-0.948833333,0.108029,0.121265,0.042186,26.22
0.53514,37.63268022,126.9705579,49.55871662,-359.18,6297.94,29.43,6.67,-0.11,2.070333333,0.804074074,0.0258,-0.02542,0.035412,26.54
0.775695,37.63268833,126.9705524,49.56963502,-359.66,6298.84,29.44,6.68,-7.387392857,-4.193571429,0.055392857,-0.160434,0.0113,0.329789,27.46
1.16695,37.63269517,126.9705455,49.57042223,-360.27,6299.6,29.44,6.16,-2.887448276,-2.717275862,0.065275862,-0.098673,-0.01416,0.986159,34.07
1.255695,37.63270049,126.9705375,49.57104681,-360.98,6300.19,29.44,6.08,-0.74862069,-0.158206897,-0.090655172,0.017542,0.024996,1.182217,43.9
1.495695,37.63270454,126.9705283,49.56153849,-361.79,6300.64,29.43,6.15,-0.213137931,0.529413793,-0.107655172,0.016301,-0.002915,1.211529,54.54
1.736237,37.63270743,126.9705183,49.55190547,-362.67,6300.96,29.42,6.36,1.743285714,2.111392857,0.052678571,0.023037,0.036196,1.074139,64.47
1.978763,37.6327095,126.9705076,49.5321874,-363.62,6301.19,29.4,6.6,1.803444444,1.762111111,0.040851852,-0.020227,-0.00161,0.86093,72.7
2.21879,37.63271085,126.9704961,49.52239362,-364.81,6301.35,29.39,6.79,1.160206897,1.299827586,-0.525655172,-0.036848,0.048063,0.669118,79.24
2.42879,37.63271157,126.9704842,49.50253294,-365.68,6301.42,29.37,7.26,1.530068966,6.563310345,-0.062448276,-0.033067,0.070372,0.447504,83.95
2.668791,37.63271202,126.9704711,49.49264902,-366.84,6301.47,29.36,8.23,1.44862963,6.666888889,-0.247148148,-0.025997,0.018682,0.258016,86.81
2.970867,37.63271247,126.970456,49.48277511,-368.17,6301.52,29.35,9.23,0.932178571,6.584214286,-0.024392857,0.005021,-0.028495,0.105039,88.24
3.208866,37.63271283,126.97044,49.4628962,-369.58,6301.56,29.33,10.18,0.37784,6.56632,0.26556,0.014941,-0.039698,0.012654,88.63
3.449866,37.63271319,126.9704224,49.45302631,-371.14,6301.6,29.32,11.06,-8.484038462,4.186653846,-0.135653846,-0.011527,-0.191334,0.095905,88.66
3.688868,37.63271283,126.9704037,49.43308279,-372.79,6301.56,29.3,11.8,2.73462963,6.695444444,0.247259259,0.002937,-0.06751,0.343029,91.45
3.928866,37.63271193,126.9703849,49.42308082,-374.45,6301.46,29.29,11.3,-2.226481481,-3.79362963,0.719259259,0.088234,-0.049017,0.391285,94.23
4.184373,37.63270994,126.970367,49.40295567,-376.03,6301.24,29.27,10.68,-1.199730769,-4.349346154,0.293269231,0.077954,-0.08189,0.661798,98.67
4.425373,37.63270661,126.9703498,49.38267875,-377.55,6300.87,29.25,10.95,1.186923077,2.445807692,-0.309769231,-0.05535,0.009733,0.722223,104.73
4.665373,37.63270192,126.9703322,49.36225538,-379.1,6300.35,29.23,11.35,1.326153846,2.99,-0.319153846,-0.059347,0.009479,0.567487,110.13
4.904373,37.63269607,126.9703143,49.34170543,-380.68,6299.7,29.21,11.82,0.798148148,3.387037037,-0.154074074,-0.020092,-0.00999,0.368643,113.96
5.144373,37.63268931,126.9702959,49.32105928,-382.3,6298.95,29.19,12.33,0.188518519,3.507925926,-0.034333333,-0.004964,-0.006521,0.215924,116.29
5.3844,37.63268165,126.970277,49.3003176,-383.97,6298.1,29.17,12.86,-0.248222222,3.597259259,0.107074074,0.002352,-0.012189,0.134728,117.67
5.624372,37.63267354,126.9702577,49.28952937,-385.68,6297.2,29.16,13.39,-0.229730769,3.603423077,-0.063730769,0.001565,-0.004832,0.112106,118.67
5.865373,37.63266462,126.9702376,49.27865625,-387.45,6296.21,29.15,13.93,-0.684,3.842666667,-0.074666667,-0.016433,-0.034465,0.117439,119.62
6.107374,37.63265507,126.9702171,49.26771692,-389.26,6295.15,29.14,14.45,-0.862884615,3.319961538,-0.052,-0.010069,-0.032906,0.202939,120.97
6.345372,37.63264453,126.9701962,49.27667124,-391.1,6293.98,29.15,14.91,-0.013333333,2.893333333,-0.243185185,-0.010999,0.002207,0.299638,123.2
6.586372,37.63263308,126.9701756,49.28552611,-392.92,6292.71,29.16,15.31,0.059807692,2.587576923,-0.014576923,-0.01988,0.005874,0.356446,126.04
6.827393,37.63262065,126.9701554,49.30427107,-394.71,6291.33,29.18,15.65,0.30668,2.20144,1.10156,0.025401,0.023076,0.36752,129.13
7.67901,37.63260713,126.9701354,49.32289629,-396.47,6289.83,29.2,15.94,0.058269231,2.362615385,-0.570076923,0.009052,-0.017288,0.359109,132.16
7.3089,37.63259236,126.9701157,49.34138265,-398.21,6288.19,29.22,16.37,-0.690666667,2.875148148,0.083444444,0.011149,-0.008142,0.38781,135.36
7.563901,37.63257641,126.9700968,49.37973701,-399.88,6286.42,29.26,16.74,-0.32964,2.37884,0.03188,-0.009201,0.010204,0.416983,138.78
7.803901,37.63255929,126.9700788,49.42795879,-401.47,6284.52,29.31,17.07,-0.197592593,2.081925926,0.377148148,-0.054798,0.016686,0.40904,142.28
8.44931,37.632541,126.9700618,49.47604742,-402.97,6282.49,29.36,17.38,0.097,2.248076923,-0.296384615,-0.025179,-0.013706,0.390969,145.65
8.284409,37.63252136,126.9700456,49.52398447,-404.4,6280.31,29.41,17.74,-0.260037037,2.346259259,0.038111111,0.012017,0.015512,0.351281,148.76
8.524408,37.6325009,126.9700305,49.58182739,-405.73,6278.04,29.47,18.08,-0.231259259,2.322888889,0.037777778,0.005308,0.028385,0.327914,151.62
8.764409,37.63247919,126.9700162,49.64952876,-407.2,6275.2,29.55,18.43,-0.262428571,2.306928571,-0.177928571,0.00936,0.021484,0.320406,154.36
9.4408,37.63245648,126.9700031,49.7071164,-408.15,6273.11,29.62,18.75,-0.177517241,1.967827586,-0.148448276,0.01024,0.014213,0.321062,157.11
9.244409,37.6324327,126.9699909,49.78458179,-409.23,6270.47,29.68,19.02,0.01037931,1.673137931,-0.074793103,-0.005629,0.022099,0.306145,159.84
9.484409,37.63240828,126.96998,49.86197175,-410.19,6267.76,29.76,19.24,-0.095310345,1.199448276,0.254482759,-0.025993,0.010068,0.274962,162.33
9.72441,37.63238323,126.9699703,49.93928761,-411.2,6264.47,29.85,19.39,-0.279433333,0.843,-0.035466667,-0.008481,-0.000625,0.247906,164.57
9.964409,37.63235755,126.9699615,50.01653007,-411.82,6261.62,29.94,19.49,-0.240862069,0.573,-0.042206897,-0.007666,-0.000814,0.227403,166.63
10.204409,37.63233133,126.9699539,50.10370837,-412.49,6258.69,30.03,19.56,-0.144387097,0.361096774,0.041322581,-0.007982,0.000484,0.205164,168.51
10.445409,37.63230016,126.9699462,50.21034765,-413.17,6255.76,30.12,19.61,-0.147103448,0.224586207,0.049482759,-0.005323,-0.000439,0.177687,170.18
10.684917,37.63227808,126.9699416,50.28796449,-413.66,6252.78,30.22,19.63,-0.196517241,0.138724138,-0.14962069,-0.007485,0.004589,0.149253,171.6
10.924917,37.63225114,126.9699366,50.38505347,-414.02,6250.32,30.3,19.65,0.136266667,0.0715,0.080066667,-0.005212,0.064877,0.124969,172.8
11.164918,37.63222429,126.9699323,50.47214981,-414.4,6247.34,30.39,19.66,-0.210758621,0.08362069,0.411310345,-0.026116,0.041993,0.097325,173.78
11.404917,37.63219726,126.9699286,50.5492247,-414.73,6244.34,30.47,19.67,-0.450433333,0.062133333,-0.109866667,-0.006401,-0.038877,0.081617,174.54
11.644917,37.6321705,126.9699253,50.62632786,-415.02,6240.83,30.57,19.68,-0.250214286,0.045571429,-0.054821429,-0.004726,-0.029687,0.07843,175.21
11.884917,37.63214338,126.9699225,50.70339058,-415.31,6237.82,30.65,19.68,-0.083103448,0.037137931,-0.073103448,-0.028756,-0.038136,0.077587,175.9
